What is your Age Group,DISC overall,Please tell us your thoughts about the content of the video. Please phrase it as if you were leaving a comment on the video you just watched from iJustine.,"Before this survey, have you heard of iJustine?","After watching the video, would you consider buying an iPhone13 Pro? 
(Based on the video, your personal preference of phone brand aside)",Please tell us your thoughts about the content of the video. Please phrase it as if you were leaving a comment on the video you just watched from Marques Brownlee,"Before this survey, have you heard of Marques Brownlee?","After watching the video, would you consider buying an iPhone13 Pro? 
(Based on the video, your personal preference of phone brand aside)"
30 to 39,a,Amazing review on the cameras. The front camera seems really good!,No,Yes. I am convinced by her review,"What a fantastic review, sure help me with my decision making",Yes,Yes. I am think he gave a convincing reviewing
30 to 39,d,Great editing!,No,No. I am a skeptic,Detailed review!,No,Yes. I am think he gave a convincing reviewing
20 to 29,a,Long-winded.,No,Yes. I am convinced by her review,Extremely detailed ,No,No. I would not.
30 to 39,c,None,No,No. I am a skeptic,None,Yes,No. I would not.
30 to 39,b,informative but the repetitiveness and focus on the camera made me skip through till the end,No,No. I am a skeptic,"very detailed comparison, testing features the layman might overlook",Yes,Yes. I am think he gave a convincing reviewing
50 and above,d,Very fun yet detailed and comprehensive review with actual footages and comparisons of the latest iPhone13 Pro. Great job Justine,No,Yes. I am convinced by her review,"Marques, did a very indepth technical review of the latest upgrade features of iPhone 13 Pro*...but honestly I am not convinced enough to consider buying it , based on the cost. ",No,No. I would not.
50 and above,d,Someone who was paid to promote iphone pro.,No,No. I am a skeptic,Presentation more precise and more convincing with showing of the iphone functions.,No,Yes. I am think he gave a convincing reviewing
40 to 49,d,The review is a fresh take on how reviews are done with real life examples.,Yes,Yes. I am convinced by her review,Well reviewed and comparisons done side by side is great!,Yes,Yes. I am think he gave a convincing reviewing
30 to 39,b,Good knowledge on the different features  between the two phones and different comparison. A summary of both phones at the end would be helpful. ,No,No. I am a skeptic,Great review on showcasing the different features on iphone13. ,No,Yes. I am think he gave a convincing reviewing
40 to 49,a,"Good feedback and review, based on daily tasks and possible usage.",No,Yes. I am convinced by her review,"Nice way to wrap up the clips, also with good flow of features introduced.",Yes,Yes. I am think he gave a convincing reviewing
40 to 49,d,Great review!,No,Yes. I am convinced by her review,Too much monologuing,No,No. I would not.
40 to 49,b,Amazing!  Thank you for sharing the amazing technology in the new iPhone13 Pro,No,Yes. I am convinced by her review,Thanks for sharing,No,No. I would not.
50 and above,a,Pretty good but way too long.,No,No. I am a skeptic,Too much technical jargon.,No,No. I would not.
